,PA13:NO2,PA13:NO,PA13:NOX,PA13:O3,OBJECTID
2024/02/06 00:00:00+00,7.1,0.7,8.2,43.9,868
2024/02/06 01:00:00+00,6.6,0.9,7.9,43.1,869
2024/02/06 02:00:00+00,6.6,0.5,7.3,42.3,870
2024/02/06 03:00:00+00,7.5,0.9,8.9,40.7,871
2024/02/06 04:00:00+00,7.3,1,8.9,40.2,872
2024/02/06 05:00:00+00,8.2,1.2,10.2,39.2,873
2024/02/06 06:00:00+00,14.1,1.6,16.7,34,874
2024/02/06 07:00:00+00,19.7,2.7,23.9,31.1,875
2024/02/06 08:00:00+00,23.3,2.6,27.3,29.2,876
2024/02/06 09:00:00+00,21.1,3.3,26.3,33.4,877
2024/02/06 10:00:00+00,17.6,2.9,22.2,38.8,878
2024/02/06 11:00:00+00,13.5,2.6,17.4,45.8,879
2024/02/06 12:00:00+00,13.3,2.1,16.6,47.1,880
2024/02/06 13:00:00+00,11.4,2,14.5,45.8,881
2024/02/06 14:00:00+00,13,2.4,16.6,46.7,882
2024/02/06 15:00:00+00,12.1,2.1,15.2,50,883
2024/02/06 16:00:00+00,13,1.5,15.3,49.5,884
2024/02/06 17:00:00+00,15.4,1.1,17.1,45.1,885
2024/02/06 18:00:00+00,20.7,1.4,22.8,39.3,886
2024/02/06 19:00:00+00,15.9,1.1,17.7,45.2,887
2024/02/06 20:00:00+00,18.9,1.4,21.1,40,888
2024/02/06 21:00:00+00,12.3,1.5,14.6,46,889
2024/02/06 22:00:00+00,9.7,0.8,10.9,48.5,890
2024/02/06 23:00:00+00,9,0.2,9.5,50,891
2024/02/07 00:00:00+00,10.9,0.6,11.7,46.8,892
2024/02/07 01:00:00+00,6.9,0.2,7.3,55.1,893
2024/02/07 02:00:00+00,4.5,0.2,4.6,61.9,894
2024/02/07 03:00:00+00,3.8,0.6,4.7,64.1,895
2024/02/07 04:00:00+00,3.8,0.6,4.7,64.5,896
2024/02/07 05:00:00+00,5.1,0.7,6.3,63.3,897
2024/02/07 06:00:00+00,10.4,0.8,11.8,57.2,898
2024/02/07 07:00:00+00,14.9,1.1,16.6,52.4,899
2024/02/07 08:00:00+00,18,1.4,20.2,50.4,900
2024/02/07 09:00:00+00,20.2,2.4,23.9,49.5,901
2024/02/07 10:00:00+00,17.9,2,21,53.3,902
2024/02/07 11:00:00+00,16.3,1.8,18.9,52.9,903
2024/02/07 12:00:00+00,15.4,1.7,17.9,53.3,904
2024/02/07 13:00:00+00,14.1,1,15.6,54,905
2024/02/07 14:00:00+00,15.5,2,18.7,49.3,906
2024/02/07 15:00:00+00,17.2,2.3,20.7,43.2,907
2024/02/07 16:00:00+00,17,1.9,20,42.7,908
2024/02/07 17:00:00+00,17.6,1.2,19.5,41.9,909
2024/02/07 18:00:00+00,16.8,0.5,17.6,42.5,910
2024/02/07 19:00:00+00,18.6,1.4,20.8,38.3,911
2024/02/07 20:00:00+00,20.8,1.1,22.5,34.3,912
2024/02/07 21:00:00+00,22.1,1.1,23.7,31,913
2024/02/07 22:00:00+00,26.1,0.6,27.1,27.2,914
2024/02/07 23:00:00+00,17.2,0.9,18.6,36.5,915
2024/02/08 00:00:00+00,10.7,0.9,12,42.3,916
2024/02/08 01:00:00+00,8.1,0.8,9.3,44.8,917
2024/02/08 02:00:00+00,8.8,0.9,10.2,44.5,918
2024/02/08 03:00:00+00,6.2,0.2,6.6,46.2,919
2024/02/08 04:00:00+00,6.5,0.3,7.1,44.3,920
2024/02/08 05:00:00+00,12.1,0.6,13.1,38.8,921
2024/02/08 06:00:00+00,17.4,1,18.9,34.2,922
2024/02/08 07:00:00+00,16.8,1.5,19.1,39.6,923
2024/02/08 08:00:00+00,22.4,2,25.5,39.3,924
2024/02/08 09:00:00+00,25.8,2.5,29.6,37.2,925
2024/02/08 10:00:00+00,20.6,1.9,23.7,41.1,926
2024/02/08 11:00:00+00,,,,,927
2024/02/08 12:00:00+00,,,,,928
2024/02/08 13:00:00+00,14.3,2.6,18.3,42.2,929
2024/02/08 14:00:00+00,16.4,2.7,20.6,39,930
2024/02/08 15:00:00+00,19.3,2.8,23.6,33.3,931
2024/02/08 16:00:00+00,24.1,2.5,28.1,30.2,932
2024/02/08 17:00:00+00,31.8,3.9,37.7,20.1,933
2024/02/08 18:00:00+00,33.8,3.7,39.4,16.4,934
2024/02/08 19:00:00+00,31.2,4.3,37.7,18.4,935
2024/02/08 20:00:00+00,25,3.4,30.3,30.2,936
2024/02/08 21:00:00+00,14.2,1.5,16.5,46.1,937
2024/02/08 22:00:00+00,12.5,1.5,14.9,52.8,938
2024/02/08 23:00:00+00,10.5,1.3,12.5,52.3,939
2024/02/09 00:00:00+00,8.6,1.3,10.6,52.5,940
2024/02/09 01:00:00+00,7.5,1.1,9.2,54.2,941
2024/02/09 02:00:00+00,7.1,1.2,9,54,942
2024/02/09 03:00:00+00,7.4,1.1,9.3,53.1,943
2024/02/09 04:00:00+00,9.3,1.2,11.2,51.7,944
2024/02/09 05:00:00+00,12.7,1.5,15,48.3,945
2024/02/09 06:00:00+00,17.4,1.9,20.3,45.8,946
2024/02/09 07:00:00+00,17,1.7,19.7,45.8,947
2024/02/09 08:00:00+00,20.4,2.5,24.2,42.5,948
2024/02/09 09:00:00+00,21.7,3.4,26.9,42.2,949
2024/02/09 10:00:00+00,17.8,3,22.5,50.1,950
2024/02/09 11:00:00+00,16,4.1,22.3,55.3,951
2024/02/09 12:00:00+00,17.2,2.6,21.2,55.9,952
2024/02/09 13:00:00+00,15.5,3.3,20.6,56,953
2024/02/09 14:00:00+00,17.6,3,22.4,54.2,954
2024/02/09 15:00:00+00,19.9,2.8,24.1,47.4,955
2024/02/09 16:00:00+00,19.5,2.6,23.6,50,956
2024/02/09 17:00:00+00,22.3,2,25.4,48.6,957
2024/02/09 18:00:00+00,23.6,1.9,26.5,51.7,958
2024/02/09 19:00:00+00,21.5,1.8,24.3,53.6,959
2024/02/09 20:00:00+00,28.8,2.5,32.7,39.6,960
2024/02/09 21:00:00+00,27.7,2.4,31.3,40.4,961
2024/02/09 22:00:00+00,28.9,2.6,32.9,37,962
2024/02/09 23:00:00+00,22.5,2.5,26.3,39.4,963
2024/02/10 00:00:00+00,19.5,2,22.5,37.5,964
2024/02/10 01:00:00+00,17.9,2.7,22.1,33.6,965
2024/02/10 02:00:00+00,20.6,2.8,24.8,28.2,966
2024/02/10 03:00:00+00,12.9,2.1,15.9,33.2,967
2024/02/10 04:00:00+00,12.4,2.9,16.9,31.5,968
2024/02/10 05:00:00+00,17.5,4,23.7,25.6,969
2024/02/10 06:00:00+00,29.6,5.2,37.4,12,970
2024/02/10 07:00:00+00,32.3,5.7,41,9.8,971
2024/02/10 08:00:00+00,35.3,11.3,52.5,4.4,972
2024/02/10 09:00:00+00,31.8,13.4,52.4,5.5,973
2024/02/10 10:00:00+00,28.1,13.3,48.5,8.6,974
2024/02/10 11:00:00+00,25.7,13.5,46.4,12.5,975
2024/02/10 12:00:00+00,27.3,10.6,43.6,11.3,976
2024/02/10 13:00:00+00,26.3,11.9,44.6,12.1,977
2024/02/10 14:00:00+00,24.7,11.5,42.4,15.2,978
2024/02/10 15:00:00+00,32.1,18.8,60.9,7.7,979
2024/02/10 16:00:00+00,29.6,13.3,50,25.7,980
2024/02/10 17:00:00+00,13.9,3.1,18.7,60.5,981
2024/02/10 18:00:00+00,18.2,2.6,22.2,55.8,982
2024/02/10 19:00:00+00,24.3,3.5,29.8,47.3,983
2024/02/10 20:00:00+00,29.4,4.2,35.9,42.9,984
2024/02/10 21:00:00+00,34.3,4.2,40.8,32.8,985
2024/02/10 22:00:00+00,33.5,3.6,39,31.1,986
2024/02/10 23:00:00+00,30.6,2.6,34.6,28.5,987
2024/02/11 00:00:00+00,23.3,3.5,28.7,33,988
2024/02/11 01:00:00+00,17.6,2.7,21.7,39.7,989
2024/02/11 02:00:00+00,13.8,1.8,16.5,45.3,990
2024/02/11 03:00:00+00,11.9,1.8,14.7,47.1,991
2024/02/11 04:00:00+00,10.5,1.1,12.3,47.4,992
2024/02/11 05:00:00+00,12.5,1.4,14.6,46.6,993
2024/02/11 06:00:00+00,12.9,1.9,15.8,45,994
2024/02/11 07:00:00+00,15.1,1.4,17.3,42.3,995
2024/02/11 08:00:00+00,13.7,2.1,16.8,43.7,996
2024/02/11 09:00:00+00,9.8,2,12.9,48,997
2024/02/11 10:00:00+00,9.2,2.6,13.3,49.8,998
2024/02/11 11:00:00+00,10,2.7,14.2,50.8,999
2024/02/11 12:00:00+00,11.7,3.1,16.4,51,1000
2024/02/11 13:00:00+00,11.2,2.7,15.3,50.1,1001
2024/02/11 14:00:00+00,11.2,2.6,15,50.4,1002
2024/02/11 15:00:00+00,10.4,2.6,14.5,54.1,1003
2024/02/11 16:00:00+00,14.4,2.5,18.2,50.5,1004
2024/02/11 17:00:00+00,13.2,2.5,17,51.4,1005
2024/02/11 18:00:00+00,16.8,2.2,20.2,48,1006
2024/02/11 19:00:00+00,17.7,2.3,21.2,48.8,1007
2024/02/11 20:00:00+00,17.3,2.9,21.6,48.4,1008
2024/02/11 21:00:00+00,15.3,2.5,19.3,47.7,1009
2024/02/11 22:00:00+00,15,2.7,19.2,45.8,1010
2024/02/11 23:00:00+00,12,2.8,16.3,49.9,1011
2024/02/12 00:00:00+00,12.3,2.9,16.8,53,1012
2024/02/12 01:00:00+00,18.5,2.5,22.4,42.9,1013
2024/02/12 02:00:00+00,15.1,3.5,20.4,41.8,1014
2024/02/12 03:00:00+00,13.4,3.1,18.2,42.9,1015
2024/02/12 04:00:00+00,15,3.1,19.7,43.4,1016
2024/02/12 05:00:00+00,18.4,3.9,24.5,37.8,1017
2024/02/12 06:00:00+00,40,4.8,47.4,15.5,1018
2024/02/12 07:00:00+00,54.6,12.6,74,3.3,1019
2024/02/12 08:00:00+00,55.1,24.6,93,1.3,1020
2024/02/12 09:00:00+00,50.4,29,94.9,4.1,1021
2024/02/12 10:00:00+00,45.9,26,85.9,8.7,1022
2024/02/12 11:00:00+00,36.6,24.7,74.5,15.9,1023
2024/02/12 12:00:00+00,31,14,52.5,30.9,1024
2024/02/12 13:00:00+00,26.3,6.5,36.4,42.5,1025
2024/02/12 14:00:00+00,18.2,5.1,26,58.7,1026
2024/02/12 15:00:00+00,16.2,5.2,24.3,67,1027
2024/02/12 16:00:00+00,20.1,3.3,25.2,60.3,1028
2024/02/12 17:00:00+00,22.2,3.4,27.3,56.1,1029
2024/02/12 18:00:00+00,23.9,3.3,28.9,53.4,1030
2024/02/12 19:00:00+00,22.2,4.6,29.2,51.9,1031
2024/02/12 20:00:00+00,43.4,6.7,53.6,25.7,1032
2024/02/12 21:00:00+00,59.9,9.9,75.1,11.8,1033
2024/02/12 22:00:00+00,63.1,16.2,87.9,7.8,1034
2024/02/12 23:00:00+00,50,8.1,62.5,17.3,1035
2024/02/13 00:00:00+00,60.5,15.2,83.8,3.7,1036
2024/02/13 01:00:00+00,43.9,7.7,55.7,16.3,1037
2024/02/13 02:00:00+00,44.4,5.3,52.5,15.7,1038
2024/02/13 03:00:00+00,50.8,6.8,61.2,6.8,1039
2024/02/13 04:00:00+00,48.1,7.6,59.8,5.9,1040
2024/02/13 05:00:00+00,50.3,15.4,74,2.2,1041
2024/02/13 06:00:00+00,51.8,15.2,75.2,2.1,1042
2024/02/13 07:00:00+00,52.4,28.2,95.6,1.3,1043
2024/02/13 08:00:00+00,49.3,30.2,95.7,1.9,1044
2024/02/13 09:00:00+00,44.8,28.6,88.6,4.9,1045
2024/02/13 10:00:00+00,42,25.2,80.6,9,1046
2024/02/13 11:00:00+00,35.6,20.4,66.8,21,1047
2024/02/13 12:00:00+00,25.9,10.9,42.5,45.1,1048
2024/02/13 13:00:00+00,20.8,6.4,30.7,51.3,1049
2024/02/13 14:00:00+00,18.3,4.1,24.5,56.7,1050
2024/02/13 15:00:00+00,17.1,2.8,21.4,59.4,1051
2024/02/13 16:00:00+00,23.8,2.4,27.4,48.4,1052
2024/02/13 17:00:00+00,26.1,2.5,30,47.8,1053
2024/02/13 18:00:00+00,32.2,2.3,35.8,40.5,1054
2024/02/13 19:00:00+00,31.4,2.4,35.1,41.9,1055
2024/02/13 20:00:00+00,21.3,1.5,23.8,52.9,1056
2024/02/13 21:00:00+00,19.2,1.3,21.2,52.5,1057
2024/02/13 22:00:00+00,12.9,1.5,15.2,56.4,1058
2024/02/13 23:00:00+00,12.3,1.7,14.9,53.7,1059
2024/02/14 00:00:00+00,11.6,0.7,12.7,51.7,1060
2024/02/14 01:00:00+00,10.1,1.5,12.2,50.8,1061
2024/02/14 02:00:00+00,8.9,1.4,11.1,49.1,1062
2024/02/14 03:00:00+00,7.9,1.8,10.7,47.7,1063
2024/02/14 04:00:00+00,11.6,1.9,14.6,40.4,1064
2024/02/14 05:00:00+00,16,2.1,19.2,34.7,1065
2024/02/14 06:00:00+00,25.9,2.9,30.5,24.9,1066
2024/02/14 07:00:00+00,35.7,5.5,44,15.5,1067
2024/02/14 08:00:00+00,41.1,8.3,53.9,12,1068
2024/02/14 09:00:00+00,44,13,64,11.8,1069
2024/02/14 10:00:00+00,32.3,8.5,45.4,26.3,1070
2024/02/14 11:00:00+00,25,6.4,34.8,31.6,1071
2024/02/14 12:00:00+00,17.4,4.1,23.7,38.3,1072
2024/02/14 13:00:00+00,17.5,5,25.2,38.6,1073
2024/02/14 14:00:00+00,14,4.4,20.8,48.1,1074
2024/02/14 15:00:00+00,12.7,3.6,18.3,51.9,1075
2024/02/14 16:00:00+00,17.5,4.4,24.2,48.3,1076
2024/02/14 17:00:00+00,22.2,3.5,27.7,43,1077
2024/02/14 18:00:00+00,30.2,3.5,35.6,34,1078
2024/02/14 19:00:00+00,44.6,6.6,54.7,19.2,1079
2024/02/14 20:00:00+00,48.3,6.7,58.5,16.2,1080
2024/02/14 21:00:00+00,43.2,5.4,51.5,20.7,1081
2024/02/14 22:00:00+00,25.5,4.2,31.9,36.8,1082
2024/02/14 23:00:00+00,23.4,4.2,29.8,38.4,1083
2024/02/15 00:00:00+00,25.6,5.4,33.9,31.8,1084
2024/02/15 01:00:00+00,29.9,9.2,44,22.6,1085
2024/02/15 02:00:00+00,21.5,5.8,30.4,32.1,1086
2024/02/15 03:00:00+00,19,7.7,30.8,34.6,1087
2024/02/15 04:00:00+00,20.2,8.8,33.7,31.7,1088
2024/02/15 05:00:00+00,23,8.5,36,28.7,1089
2024/02/15 06:00:00+00,34.5,6.3,44.1,19.6,1090
2024/02/15 07:00:00+00,50.3,13.3,70.7,6.5,1091
2024/02/15 08:00:00+00,49.6,22.6,84.1,6.3,1092
2024/02/15 09:00:00+00,48.6,31.6,97,8,1093
2024/02/15 10:00:00+00,36.8,22.5,71.2,20.3,1094
2024/02/15 11:00:00+00,25.8,10.8,42.4,30,1095
2024/02/15 12:00:00+00,22.9,9.4,37.3,35.3,1096
2024/02/15 13:00:00+00,19.2,6.6,29.2,41.6,1097
2024/02/15 14:00:00+00,17,5.1,24.8,50.1,1098
2024/02/15 15:00:00+00,15.8,3.7,21.6,53.8,1099
2024/02/15 16:00:00+00,17.5,2.1,20.7,54.4,1100
2024/02/15 17:00:00+00,34.9,2,37.9,30.8,1101
2024/02/15 18:00:00+00,47.7,2.4,51.3,14.7,1102
2024/02/15 19:00:00+00,50.5,2.5,54.4,13,1103
2024/02/15 20:00:00+00,44.5,2.1,47.6,18.2,1104
2024/02/15 21:00:00+00,37.5,1.7,40.1,22.8,1105
2024/02/15 22:00:00+00,48.6,4.9,56.2,8.4,1106
2024/02/15 23:00:00+00,40.9,3.4,46.1,15,1107
2024/02/16 00:00:00+00,21.9,1.3,24,30.7,1108
2024/02/16 01:00:00+00,13.6,1.2,15.6,40.2,1109
2024/02/16 02:00:00+00,9.3,1.1,11,48.6,1110
2024/02/16 03:00:00+00,7,1,8.4,50.8,1111
2024/02/16 04:00:00+00,6.4,0.6,7.4,48.6,1112
2024/02/16 05:00:00+00,9.4,1.3,11.4,43.7,1113
2024/02/16 06:00:00+00,10.3,1.1,12,42.2,1114
2024/02/16 07:00:00+00,13,1.8,15.7,38.7,1115
2024/02/16 08:00:00+00,18.2,2.5,22,33.8,1116
2024/02/16 09:00:00+00,18.2,2,21.4,37.1,1117
2024/02/16 10:00:00+00,15.8,2.6,19.8,42.5,1118
2024/02/16 11:00:00+00,17.6,2.8,21.9,34.7,1119
2024/02/16 12:00:00+00,17.9,3.4,23.1,37.2,1120
2024/02/16 13:00:00+00,16.4,2.7,20.5,55.6,1121
2024/02/16 14:00:00+00,16.2,2.3,19.7,59.5,1122
2024/02/16 15:00:00+00,15.4,2.5,19.3,59.9,1123
2024/02/16 16:00:00+00,14.3,2.4,18,62,1124
2024/02/16 17:00:00+00,12.8,1.6,15.4,65.7,1125
2024/02/16 18:00:00+00,16.5,1.6,18.9,62.1,1126
2024/02/16 19:00:00+00,16.5,1.2,18.4,63.6,1127
2024/02/16 20:00:00+00,17.7,1.6,20.1,60.4,1128
2024/02/16 21:00:00+00,16.1,1.5,18.4,61.9,1129
2024/02/16 22:00:00+00,11,1,12.5,72.5,1130
2024/02/16 23:00:00+00,9.1,1,10.7,76.1,1131
2024/02/17 00:00:00+00,10.6,0.5,11.4,71.6,1132
2024/02/17 01:00:00+00,9.8,0.8,11,72.4,1133
2024/02/17 02:00:00+00,6.8,1.1,8.7,78.5,1134
2024/02/17 03:00:00+00,5.7,0.6,6.7,80.4,1135
2024/02/17 04:00:00+00,5.3,0.7,6.4,78.3,1136
2024/02/17 05:00:00+00,5,0.8,6.2,77.8,1137
2024/02/17 06:00:00+00,8.9,0.7,10.1,70.9,1138
2024/02/17 07:00:00+00,8.4,0.5,9.3,71.4,1139
2024/02/17 08:00:00+00,15,0.8,16.4,63,1140
2024/02/17 09:00:00+00,38.7,3.8,44.6,42.5,1141
2024/02/17 10:00:00+00,20.9,3.2,25.7,60.7,1142
2024/02/17 11:00:00+00,11,2,14.1,74.2,1143
2024/02/17 12:00:00+00,9.1,2,12.2,78.1,1144
2024/02/17 13:00:00+00,8.4,1.7,11.1,81,1145
2024/02/17 14:00:00+00,8.7,2,11.7,81.2,1146
2024/02/17 15:00:00+00,8.3,2,11.3,79.8,1147
2024/02/17 16:00:00+00,9.7,1.3,11.7,77,1148
2024/02/17 17:00:00+00,12.2,0.9,13.7,74.5,1149
2024/02/17 18:00:00+00,25.1,0.6,26,58.1,1150
2024/02/17 19:00:00+00,36.1,1.1,37.7,46.9,1151
2024/02/17 20:00:00+00,49.3,2.7,53.3,32.6,1152
2024/02/17 21:00:00+00,55.7,2,58.9,26,1153
2024/02/17 22:00:00+00,39.4,1.5,41.7,41.3,1154
2024/02/17 23:00:00+00,32.2,0.8,33.4,44.8,1155
2024/02/18 00:00:00+00,28.6,1.1,30.5,44.7,1156
2024/02/18 01:00:00+00,21.6,0.9,22.9,49.6,1157
2024/02/18 02:00:00+00,16.6,1.2,18.4,51,1158
2024/02/18 03:00:00+00,14.5,1.2,16.4,49.5,1159
2024/02/18 04:00:00+00,12.9,1.2,14.7,49,1160
2024/02/18 05:00:00+00,13.9,1.2,15.8,45.4,1161
2024/02/18 06:00:00+00,14.4,1.6,16.9,43.7,1162
2024/02/18 07:00:00+00,19.6,0.9,21,35.8,1163
2024/02/18 08:00:00+00,21.4,1.6,23.9,34.6,1164
2024/02/18 09:00:00+00,19.6,2,22.6,39,1165
2024/02/18 10:00:00+00,21.1,1.7,23.8,40.5,1166
2024/02/18 11:00:00+00,18.7,2.5,22.7,47.1,1167
2024/02/18 12:00:00+00,17.8,2.3,21.3,48.2,1168
2024/02/18 13:00:00+00,16,1.7,18.5,51.5,1169
2024/02/18 14:00:00+00,14.8,1.4,16.9,50.9,1170
2024/02/18 15:00:00+00,16.1,1.6,18.6,47.3,1171
2024/02/18 16:00:00+00,16.5,1.8,19.2,43.4,1172
2024/02/18 17:00:00+00,15.3,1.4,17.4,42.4,1173
2024/02/18 18:00:00+00,18.1,1.6,20.4,37.7,1174
2024/02/18 19:00:00+00,21.6,1.6,24,30.6,1175
2024/02/18 20:00:00+00,21.1,1.4,23.2,33,1176
2024/02/18 21:00:00+00,13.1,1.1,14.8,45,1177
2024/02/18 22:00:00+00,12.6,2,15.6,44.6,1178
2024/02/18 23:00:00+00,12.8,1.1,14.5,43.8,1179
2024/02/19 00:00:00+00,6.9,1.6,9.5,50.5,1180
2024/02/19 01:00:00+00,5.8,1.2,7.7,54.1,1181
2024/02/19 02:00:00+00,5.6,1.1,7.4,54.5,1182
2024/02/19 03:00:00+00,6.5,1.4,8.6,51.2,1183
2024/02/19 04:00:00+00,6.3,1.3,8.3,50.6,1184
2024/02/19 05:00:00+00,9.8,1.7,12.4,44.1,1185
2024/02/19 06:00:00+00,14.5,1.9,17.5,40,1186
2024/02/19 07:00:00+00,16.7,2.1,19.9,41.3,1187
2024/02/19 08:00:00+00,28.7,5.9,37.6,27.5,1188
2024/02/19 09:00:00+00,28.8,6.8,38.4,32.7,1189
2024/02/19 10:00:00+00,31.7,11.3,48.1,37,1190
2024/02/19 11:00:00+00,22.2,10.7,35.6,42,1191
2024/02/19 12:00:00+00,17.3,3.7,22.9,43.9,1192
2024/02/19 13:00:00+00,18.3,6.2,27,48.4,1193
2024/02/19 14:00:00+00,22.4,6,31.6,53.7,1194
2024/02/19 15:00:00+00,14.3,3.1,18.2,61.2,1195
2024/02/19 16:00:00+00,14.4,1.9,17.4,58,1196
2024/02/19 17:00:00+00,14.5,1.6,17,56.2,1197
2024/02/19 18:00:00+00,15.7,1,17.2,52,1198
2024/02/19 19:00:00+00,20.1,0.9,21.4,46.4,1199
2024/02/19 20:00:00+00,14.7,0.8,15.9,52.7,1200
2024/02/19 21:00:00+00,14.7,1.1,16.5,50.3,1201
2024/02/19 22:00:00+00,14.9,1.1,16.6,50.9,1202
2024/02/19 23:00:00+00,15.9,1,17.3,47,1203
2024/02/20 00:00:00+00,19.7,1.6,22.2,40.8,1204
2024/02/20 01:00:00+00,18.8,1.9,21.8,38.9,1205
2024/02/20 02:00:00+00,15.6,1.6,18.1,38.9,1206
2024/02/20 03:00:00+00,12.7,1.4,14.9,39.3,1207
2024/02/20 04:00:00+00,9.8,1.3,11.8,43.4,1208
2024/02/20 05:00:00+00,13.3,1.5,15.6,36.9,1209
2024/02/20 06:00:00+00,35.1,5,42.8,16.4,1210
2024/02/20 07:00:00+00,24.6,4.7,31.8,28.5,1211
2024/02/20 08:00:00+00,33.2,6.6,43.3,20.4,1212
2024/02/20 09:00:00+00,30.8,5.5,39.1,25.8,1213
2024/02/20 10:00:00+00,42.4,17.2,68.1,24.2,1214
2024/02/20 11:00:00+00,38.7,16.1,63.4,28.8,1215
2024/02/20 12:00:00+00,18.6,5.6,27.1,45,1216
2024/02/20 13:00:00+00,22.1,15.4,44.4,41.6,1217
2024/02/20 14:00:00+00,,,,42.4,1218
2024/02/20 15:00:00+00,,,,43.3,1219
2024/02/20 16:00:00+00,18.3,3.9,24.2,49.2,1220
2024/02/20 17:00:00+00,24.2,2.5,28.1,44.9,1221
2024/02/20 18:00:00+00,22.5,1.6,24.9,45.1,1222
2024/02/20 19:00:00+00,29.3,1.3,31.4,38.1,1223
2024/02/20 20:00:00+00,34.6,1.5,37,30.4,1224
2024/02/20 21:00:00+00,32.3,1.1,34,28.2,1225
2024/02/20 22:00:00+00,25.9,1.4,28,31.8,1226
2024/02/20 23:00:00+00,23.7,1.1,25.4,31.7,1227
2024/02/21 00:00:00+00,21.2,1,22.6,31.2,1228
2024/02/21 01:00:00+00,25.4,1.6,28,24.3,1229
2024/02/21 02:00:00+00,20.2,1.4,22.5,26.8,1230
2024/02/21 03:00:00+00,19.1,1.4,21.3,28.7,1231
2024/02/21 04:00:00+00,20.3,1.1,22,27.2,1232
2024/02/21 05:00:00+00,26.7,1.6,29.2,20.2,1233
2024/02/21 06:00:00+00,31.7,2.9,36.1,18.1,1234
2024/02/21 07:00:00+00,,,,13.4,1235
2024/02/21 08:00:00+00,,,,13.4,1236
2024/02/21 09:00:00+00,,,,20.5,1237
2024/02/21 10:00:00+00,,,,24.5,1238
2024/02/21 11:00:00+00,,,,35.9,1239
2024/02/21 12:00:00+00,,,,50.1,1240
2024/02/21 13:00:00+00,,,,47.2,1241
2024/02/21 14:00:00+00,,,,44.5,1242
2024/02/21 15:00:00+00,,,,39.9,1243
2024/02/21 16:00:00+00,25.5,3,30.2,37.9,1244
2024/02/21 17:00:00+00,22.1,1.9,25.2,45.8,1245
2024/02/21 18:00:00+00,16.6,1.1,18.4,55.6,1246
2024/02/21 19:00:00+00,14.1,1.3,16.2,56.1,1247
2024/02/21 20:00:00+00,12.7,1.1,14.4,55.4,1248
2024/02/21 21:00:00+00,11.3,1.4,13.4,52.7,1249
2024/02/21 22:00:00+00,10.2,0.9,11.5,51.3,1250
2024/02/21 23:00:00+00,9.9,0.5,10.6,51.1,1251
2024/02/22 00:00:00+00,8.1,0.6,9,54.6,1252
2024/02/22 01:00:00+00,6.7,0.7,7.7,56.6,1253
2024/02/22 02:00:00+00,5.8,0.8,7.1,56.9,1254
2024/02/22 03:00:00+00,5.8,0.7,7,56.5,1255
2024/02/22 04:00:00+00,5.9,0.9,7.4,55.8,1256
2024/02/22 05:00:00+00,9.3,0.9,10.7,52.9,1257
2024/02/22 06:00:00+00,16.2,1.5,18.5,46.7,1258
2024/02/22 07:00:00+00,18.4,1.7,21.1,44.6,1259
2024/02/22 08:00:00+00,18.5,2,21.7,43.9,1260
2024/02/22 09:00:00+00,17.7,2.5,21.5,45.1,1261
2024/02/22 10:00:00+00,14.8,1.9,17.8,49.1,1262
2024/02/22 11:00:00+00,13.2,1.7,15.8,49.8,1263
2024/02/22 12:00:00+00,13.7,2.1,16.8,47.7,1264
2024/02/22 13:00:00+00,13,2.3,16.5,46.8,1265
2024/02/22 14:00:00+00,14,2.1,17.2,46.9,1266
2024/02/22 15:00:00+00,8.2,1.3,10.1,66.8,1267
2024/02/22 16:00:00+00,8.8,1.6,11.3,71.1,1268
2024/02/22 17:00:00+00,9.9,1,11.5,80.7,1269
2024/02/22 18:00:00+00,11.9,1.9,14.8,75.7,1270
2024/02/22 19:00:00+00,12.6,0.8,13.9,74.5,1271
2024/02/22 20:00:00+00,10.5,0.9,12,76,1272
2024/02/22 21:00:00+00,9,0.7,10,78.7,1273
2024/02/22 22:00:00+00,7.3,0.1,7.4,80.3,1274
2024/02/22 23:00:00+00,7.6,0.8,8.9,77.8,1275
2024/02/23 00:00:00+00,8.4,0.5,9.2,70.8,1276
2024/02/23 01:00:00+00,8.8,0.8,10.1,69.1,1277
2024/02/23 02:00:00+00,7.5,0.5,8.3,70.1,1278
2024/02/23 03:00:00+00,7.1,0.7,8.2,69.3,1279
2024/02/23 04:00:00+00,6.5,0,6.6,68.5,1280
2024/02/23 05:00:00+00,11.2,0.9,12.7,62.2,1281
2024/02/23 06:00:00+00,22.6,1.2,24.6,50.5,1282
2024/02/23 07:00:00+00,26.2,1.8,29,45.6,1283
2024/02/23 08:00:00+00,27.1,2.7,31.3,44.1,1284
2024/02/23 09:00:00+00,19.7,3,24.4,50.7,1285
2024/02/23 10:00:00+00,18.4,2.8,22.8,51.6,1286
2024/02/23 11:00:00+00,17.3,2.7,21.5,54.3,1287
2024/02/23 12:00:00+00,13.3,3.1,18,59.9,1288
2024/02/23 13:00:00+00,15.6,3.1,20.4,60.5,1289
2024/02/23 14:00:00+00,12.3,2.9,16.8,65.7,1290
2024/02/23 15:00:00+00,15.5,2.6,19.5,64,1291
2024/02/23 16:00:00+00,15.4,2.3,19,62.8,1292
2024/02/23 17:00:00+00,18.4,1.8,21,59.3,1293
2024/02/23 18:00:00+00,19.7,1,21.1,58.8,1294
